dr:D04475	atc:A10AB05
dr:D04540	atc:A10AB06
dr:D03230	atc:A10AC01
dr:D04548	atc:A10AC03
dr:D04477	atc:A10AC04
dr:D03230	atc:A10AD01
dr:D04548	atc:A10AD03
dr:D04477	atc:A10AD04
dr:D04475	atc:A10AD05
dr:D10570	atc:A10AD06
dr:D03230	atc:A10AE01
dr:D04548	atc:A10AE03
dr:D03250	atc:A10AE04
dr:D04539	atc:A10AE05
dr:D09727	atc:A10AE06
dr:D11034	atc:A10AE54
dr:D11567	atc:A10AE56
dr:D03230	atc:A10AF01
dr:D08351	atc:A10BA01
dr:D08352	atc:A10BA01
dr:D04966	atc:A10BA02
dr:D00944	atc:A10BA02
dr:D00595	atc:A10BA03
dr:D02206	atc:A10BA03
dr:D00336	atc:A10BB01
dr:D00271	atc:A10BB02
dr:D00380	atc:A10BB03
dr:D06177	atc:A10BB03
dr:D02427	atc:A10BB04
dr:D00379	atc:A10BB05
dr:D02425	atc:A10BB06
dr:D00335	atc:A10BB07
dr:D02430	atc:A10BB08
dr:D01599	atc:A10BB09
dr:D07117	atc:A10BB10
dr:D07118	atc:A10BB11
dr:D00593	atc:A10BB12
dr:D00219	atc:A10BB31
dr:D01356	atc:A10BC01
dr:D10265	atc:A10BD02
dr:D10266	atc:A10BD02
dr:D10244	atc:A10BD03
dr:D10251	atc:A10BD04
dr:D09744	atc:A10BD05
dr:D09848	atc:A10BD06
dr:D10261	atc:A10BD07
dr:D10743	atc:A10BD08
dr:D10159	atc:A10BD09
dr:D10263	atc:A10BD10
dr:D10264	atc:A10BD11
dr:D10253	atc:A10BD13
dr:D10500	atc:A10BD14
dr:D10586	atc:A10BD15
dr:D10587	atc:A10BD16
dr:D10588	atc:A10BD19
dr:D10752	atc:A10BD20
dr:D10826	atc:A10BD21
dr:D11067	atc:A10BD23
dr:D11066	atc:A10BD24
dr:D00216	atc:A10BF01
dr:D00625	atc:A10BF02
dr:D01665	atc:A10BF03
dr:D00395	atc:A10BG01
dr:D08491	atc:A10BG02
dr:D00596	atc:A10BG02
dr:D08378	atc:A10BG03
dr:D00945	atc:A10BG03
dr:D08516	atc:A10BH01
dr:D06645	atc:A10BH01
dr:D07080	atc:A10BH02
dr:D08996	atc:A10BH03
dr:D09753	atc:A10BH03
dr:D10262	atc:A10BH03
dr:D06553	atc:A10BH04
dr:D09566	atc:A10BH05
dr:D10502	atc:A10BH06
dr:D11023	atc:A10BH07
dr:D10258	atc:A10BH51
dr:D04121	atc:A10BJ01
dr:D06404	atc:A10BJ02
dr:D09729	atc:A10BJ03
dr:D08843	atc:A10BJ04
dr:D09889	atc:A10BJ05
dr:D10025	atc:A10BJ06
dr:D08897	atc:A10BK01
dr:D09763	atc:A10BK01
dr:D09592	atc:A10BK02
dr:D10459	atc:A10BK03
dr:D10313	atc:A10BK04
dr:D11043	atc:A10BK04
dr:D10196	atc:A10BK05
dr:D10200	atc:A10BK05
dr:D10669	atc:A10BK06
dr:D04403	atc:A10BX01
dr:D00594	atc:A10BX02
dr:D01111	atc:A10BX03
dr:D05594	atc:A10BX05
dr:D05595	atc:A10BX05
dr:D07192	atc:A10BX06
dr:D07508	atc:A10BX06
dr:D01854	atc:A10BX08
dr:D02323	atc:A10XA01
dr:D06543	atc:A11CA01
dr:D00164	atc:A11CA01
dr:D01621	atc:A11CA01
dr:D08477	atc:A11CA01
dr:D03101	atc:A11CA02
dr:D00187	atc:A11CC01
dr:D00299	atc:A11CC02
dr:D01518	atc:A11CC03
dr:D00129	atc:A11CC04
dr:D00188	atc:A11CC05
dr:D00122	atc:A11CC06
dr:D08580	atc:A11DA01
dr:D01225	atc:A11DA01
dr:D02094	atc:A11DA01
dr:D03277	atc:A11DA01
dr:D08581	atc:A11DA01
dr:D01319	atc:A11DA02
dr:D01255	atc:A11DA03
dr:D00018	atc:A11GA01
dr:D05853	atc:A11GA01
dr:D07575	atc:A11GA01
dr:D02293	atc:A11GB01
dr:D04909	atc:A11GB01
dr:D07575	atc:A11GB01
dr:D00036	atc:A11HA01
dr:D00002	atc:A11HA01
dr:D08454	atc:A11HA02
dr:D02179	atc:A11HA02
dr:D02332	atc:A11HA03
dr:D01406	atc:A11HA03
dr:D01530	atc:A11HA03
dr:D01735	atc:A11HA03
dr:D08612	atc:A11HA03
dr:D00050	atc:A11HA04
dr:D01622	atc:A11HA04
dr:D01913	atc:A11HA04
dr:D05725	atc:A11HA04
dr:D00029	atc:A11HA05
dr:D07586	atc:A11HA05
dr:D00006	atc:A11HA06
dr:D03281	atc:A11HA06
dr:D08079	atc:A11HA07
dr:D06174	atc:A11HA08
dr:D00193	atc:A11HA30
dr:D01082	atc:A11HA31
dr:D03300	atc:A11HA31
dr:D01234	atc:A11HA32
dr:D00937	atc:A12AA01
dr:D00938	atc:A12AA01
dr:D03302	atc:A12AA01
dr:D03303	atc:A12AA01
dr:D06437	atc:A12AA01
dr:D03294	atc:A12AA02
dr:D00935	atc:A12AA03
dr:D05463	atc:A12AA03
dr:D00932	atc:A12AA04
dr:D00936	atc:A12AA05
dr:D02254	atc:A12AA05
dr:D02256	atc:A12AA07
dr:D00934	atc:A12AA10
dr:D00933	atc:A12AA13
dr:D02060	atc:A12BA01
dr:D05578	atc:A12BA02
dr:D01561	atc:A12BA03
dr:D02077	atc:A12BA04
dr:D01298	atc:A12BA05
dr:D02056	atc:A12CA01
dr:D01732	atc:A12CA02
dr:D05877	atc:A12CA02
dr:D01081	atc:A12CB01
dr:D06371	atc:A12CB01
dr:D02390	atc:A12CB02
dr:D04834	atc:A12CC01
dr:D01108	atc:A12CC02
dr:D04835	atc:A12CC03
dr:D03265	atc:A12CC04
dr:D02026	atc:A12CC05
dr:D08263	atc:A12CC08
dr:D01167	atc:A12CC10
dr:D00943	atc:A12CD01
dr:D05864	atc:A12CD02
dr:D07456	atc:A14AA01
dr:D00444	atc:A14AA02
dr:D00389	atc:A14AA03
dr:D08193	atc:A14AA04
dr:D01301	atc:A14AA04
dr:D01375	atc:A14AA04
dr:D00490	atc:A14AA05
dr:D05674	atc:A14AA06
dr:D08409	atc:A14AA07
dr:D01616	atc:A14AA07
dr:D00462	atc:A14AA08
dr:D07127	atc:A14AA09
dr:D08250	atc:A14AB01
dr:D00955	atc:A14AB01
dr:D00956	atc:A14AB01
dr:D01476	atc:A14AB01
dr:D01737	atc:A14AB01
dr:D05116	atc:A14AB01
dr:D08251	atc:A14AB01
dr:D01414	atc:A14AB02
dr:D01149	atc:A14AB03
dr:D02176	atc:A16AA01
dr:D02030	atc:A16AA01
dr:D04713	atc:A16AA01
dr:D07128	atc:A16AA02
dr:D07592	atc:A16AA02
dr:D00015	atc:A16AA03
dr:D03634	atc:A16AA04
dr:D10468	atc:A16AA04
dr:D07130	atc:A16AA05
dr:D07523	atc:A16AA06
dr:D03103	atc:A16AA06
dr:D07524	atc:A16AA06
dr:D07525	atc:A16AA06
dr:D05014	atc:A16AA07
dr:D02810	atc:A16AB01
dr:D03020	atc:A16AB02
dr:D02784	atc:A16AB03
dr:D03228	atc:A16AB04
dr:D04670	atc:A16AB05
dr:D05782	atc:A16AB06
dr:D03207	atc:A16AB07
dr:D06565	atc:A16AB08
dr:D04499	atc:A16AB09
dr:D09029	atc:A16AB10
dr:D09675	atc:A16AB11
dr:D10333	atc:A16AB12
dr:D10595	atc:A16AB13
dr:D10377	atc:A16AB14
dr:D11024	atc:A16AB15
dr:D11025	atc:A16AB16
dr:D10813	atc:A16AB17
dr:D11004	atc:A16AB18
dr:D11077	atc:A16AB19
dr:D00086	atc:A16AX01
dr:D00048	atc:A16AX01
dr:D01584	atc:A16AX02
dr:D05868	atc:A16AX03
dr:D05177	atc:A16AX04
dr:D06408	atc:A16AX05
dr:D05032	atc:A16AX06
dr:D08505	atc:A16AX07
dr:D01798	atc:A16AX07
dr:D06053	atc:A16AX08
dr:D10127	atc:A16AX09
dr:D09893	atc:A16AX10
dr:D09894	atc:A16AX10
dr:D02277	atc:A16AX11
dr:D00736	atc:A16AX12
dr:D11649	atc:A16AX12
dr:D09985	atc:A16AX13
dr:D10359	atc:A16AX14
dr:D05031	atc:A16AX14
dr:D09973	atc:A16AX15
dr:D09974	atc:A16AX15
dr:D09975	atc:A16AX15
dr:D03798	atc:B01AA01
dr:D08354	atc:B01AA02
dr:D08682	atc:B01AA03
dr:D00564	atc:B01AA03
dr:D01280	atc:B01AA03
dr:D05457	atc:B01AA04
dr:D07064	atc:B01AA07
dr:D07131	atc:B01AA08
dr:D07135	atc:B01AA09
dr:D07136	atc:B01AA10
dr:D07137	atc:B01AA11
dr:D07969	atc:B01AA12
dr:D07510	atc:B01AB01
dr:D02112	atc:B01AB01
dr:D04427	atc:B01AB01
dr:D06571	atc:B01AB02
dr:D03353	atc:B01AB04
dr:D03674	atc:B01AB05
dr:D04427	atc:B01AB06
dr:D04977	atc:B01AB07
dr:D03337	atc:B01AB08
dr:D03644	atc:B01AB09
dr:D06398	atc:B01AB10
dr:D08547	atc:B01AB11
dr:D07510	atc:B01AB12
dr:D07138	atc:B01AC01
dr:D07139	atc:B01AC02
dr:D07736	atc:B01AC02
dr:D07140	atc:B01AC03
dr:D07729	atc:B01AC04
dr:D00769	atc:B01AC04
dr:D10823	atc:B01AC04
dr:D10824	atc:B01AC04
dr:D08594	atc:B01AC05
dr:D01028	atc:B01AC05
dr:D00109	atc:B01AC06
dr:D05181	atc:B01AC06
dr:D07579	atc:B01AC06
dr:D07580	atc:B01AC06
dr:D07581	atc:B01AC06
dr:D07582	atc:B01AC06
dr:D00302	atc:B01AC07
dr:D03385	atc:B01AC08
dr:D00106	atc:B01AC09
dr:D01337	atc:B01AC09
dr:D07141	atc:B01AC10
dr:D02721	atc:B01AC11
dr:D08065	atc:B01AC11
dr:D02778	atc:B01AC13
dr:D07421	atc:B01AC15
dr:D06888	atc:B01AC16
dr:D08607	atc:B01AC17
dr:D01029	atc:B01AC17
dr:D07142	atc:B01AC18
dr:D02720	atc:B01AC19
dr:D01551	atc:B01AC19
dr:D06213	atc:B01AC21
