ID_Stof,ATC_code
656f9d53-c275-4f3a-96ee-1fe7605e32dd,C01CA04
bd7db3e0-44dc-4e7e-9018-9b48fa385f5f,M04AA01
b14df7e3-8c94-449d-bfea-8e528af6e2d5,R03AC03
842d21dd-13b9-4459-b069-73e0f174d9df,N07BA01
9c72a9e6-3bc0-460b-a6ca-2d8a84950624,N05BA09
623b1411-9803-41a6-95cb-889ec288d9c8,C08DA01
d944099d-d061-4e4d-acfa-bb520af59e40,A02BX13
d40cef3b-00cf-474e-b7af-8dc66caab343,L01AA06
e00760c8-5118-4adb-a2ac-8954958cb36a,V08AB02
787cc134-0e07-42d9-94f4-0ccc5012e6d9,C07AA05
389e5cb5-f46b-4164-889d-c78e355f944e,A03AB02
fe0443e1-916e-4216-8139-e6f41c48a551,D10AF01
69c48b4b-0121-4bc8-a3eb-931a7e9a9ab3,C01BC03
d04f0771-d721-4b74-afcc-38b471ac9dfa,B03BA01
bdc270dc-3def-4a38-b7b4-1a3876553178,L01CA02
21094530-e561-4758-96ce-87e8d37afd71,L04AD01
17fa6e10-dc1b-49e3-b7fb-9bd930c61fbd,N01AH02
41514bd8-72e9-4cd5-a9b1-3a203d0c8b7b,N04BA02
821fbbe9-e8bb-40f2-bd48-7ecc778a75c1,N05AB03
eba9c688-9e34-49f1-b0ce-91ea682634fb,B05BA01
d944099d-d061-4e4d-acfa-bb520af59e40,B05BA01
2d93b7d1-0486-4aa3-bde5-ec0c7d373d80,J01CA04
c8d70187-3a26-4aeb-a9c8-d29e70d34f6a,R01AD01
922b0720-7129-4881-abde-f329565af530,C01BC04
c67e8594-3508-4de5-962d-c4e27221d9c9,N04BD01
06d1ab22-4545-4f05-a388-7b961ab808d0,J01DD02
d28b250f-17f3-464f-abc8-e1867b2b00df,C10AB04
6a0314e1-6deb-49cb-8a12-41be348ac1df,A02BA02
34f33bf1-a89b-4266-883b-db48d0dbad5a,A02BX02
9865fb9c-b625-4f15-aa47-3b9221655c32,N01BB20
7b134612-ab22-4f0d-a6df-44045103c2b9,A07EC02
70b227c0-5d73-4402-9bac-7ea33b6e1eec,J01DD04
11ead913-060d-419e-8e27-c52cd1a6eded,L01BA01
07784150-424f-40d5-93af-69225151844b,D01AC08
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03FA01
f9981f1b-23a2-4ee1-9af7-f18f9a99ae66,G03FA01
073bf7a3-4721-4113-8e32-61f9a9bf417d,C01BD01
620ffbae-d08e-4083-86c9-6be8e7956879,J01GB03
6260ca39-383c-4df7-9210-27c52ca39bae,C08CA06
3fe607f5-586d-4f55-8020-5be10820c97e,B05XA06
7dffc085-857a-4b68-a58e-759d001c35e8,N05CF01
0344afb2-4873-4261-8781-6b775e64e945,C01DA08
8754d59e-9aca-4e7d-8fd2-da1c4c38f0af,C03EA01
cf83d0a9-03eb-42fe-a859-652e4fe1a6ac,C03EA01
d49c710f-5443-4cbc-90d8-4aa1ea3f710e,A10BB01
ba64de9d-66f9-408c-b257-92b1577be169,D06BX01
18fcdf73-8232-4e37-8ad5-7913a9f2fa39,S01ED01
a8a3d120-4fd9-481c-b65d-b2f1878a307a,A02BB01
48d96111-7057-490d-8e36-4ce9a5b6f353,V08AB05
74e00731-6649-45cd-bea5-0b9d56d23e13,N02AJ06
d18ead6e-0d17-4d7a-b5c5-e27efabfbc5a,N02AJ06
3414ac95-d03e-49af-8356-4cbc0edea0cf,C01DA14
6d764942-3b72-4b30-bbf5-2a6c3fd68af5,A07AA09
cbbfe1d3-4d8f-4627-9942-b3c05524115c,N01AX10
ce8a7481-35b9-4dbc-8f6c-4b428419f02a,S01ED02
578f2947-6a40-47c5-9c3e-38c3deb1cec1,S01AA13
cf519f64-1ddb-4677-b9d4-6f352e02c80c,G03CX01
e60b1bd8-02a7-443f-a039-b9151929ed3a,N05BA04
08f0bd7c-8718-47f2-b92b-1c90ed6ca543,L01CB01
1a7fe021-2d15-44fc-bbea-446f8779e722,C08DB01
9865fb9c-b625-4f15-aa47-3b9221655c32,C05AA08
2d93b7d1-0486-4aa3-bde5-ec0c7d373d80,J01CR02
4b53f586-0587-4284-bdd3-2923b737d437,J01CR02
578f2947-6a40-47c5-9c3e-38c3deb1cec1,D07CC01
1cc48323-1505-4d60-b9bd-1a650965e5b7,D07CC01
65ee22a5-5b1c-42a1-8cd3-606f8c3435c4,R05DA09
f9981f1b-23a2-4ee1-9af7-f18f9a99ae66,G03HB01
513cfff6-59b2-41e5-9510-d0c6db0ea5c3,M02AA07
e94148ac-a8d7-4138-9006-9224fc70dd19,M01AC02
2d2dd6ca-3296-4286-9b0a-8ea782395972,B05XA31
b3b1b8be-72a6-4278-97f4-774dc85c539a,B05XA31
4c8ddded-4b36-499c-a371-bc688b3ed7fa,L02BA01
1d9c8aae-fe31-4e08-9f4a-af43d965b39c,R06AX13
7b4a063b-de23-47d8-9021-6479e52d0afc,M01AE11
0c05e795-0d89-440e-a9c2-0a8bbc9319e0,B05BB01
878ea0aa-7ba8-4b17-a51c-fe46402bc261,M01AE02
de944d86-b344-46ee-bdd4-e5754c13d32a,C10AD06
a72404f6-3bcb-43cd-ae84-fef6c8e6e0cc,C07AB03
a972ce48-9b16-4165-b190-b0230f0f75fd,J05AF01
29e5a7d2-40d4-4003-b42b-b8ba8bb082f0,G03AA10
f9981f1b-23a2-4ee1-9af7-f18f9a99ae66,G03AA10
ab037f42-ae8b-4bb3-ba4b-3e075a1eb248,C01CA07
10355f82-f6ac-4d01-9b92-7d6eff85e66a,H01CB02
500e3ba0-bbfd-4762-827a-57e96412b9e2,C08CA02
80df98d9-1041-46a4-b2b6-bd850867b2bc,J01FA06
513cfff6-59b2-41e5-9510-d0c6db0ea5c3,M01AC01
389e5cb5-f46b-4164-889d-c78e355f944e,N07AA51
a9fed224-5846-41e1-ae24-db104b42be70,R06AE07
11ead913-060d-419e-8e27-c52cd1a6eded,L04AX03
5fc9552a-cf6b-46b3-b7ba-80d5ea08742c,J02AC01
f7ef3980-d18b-4b76-8b88-e2bee7c2a16d,B01AB05
af1cf65e-ac18-4ba0-975a-6431343a7f7a,D05BB02
1f4c1fbe-f921-472b-9eec-eb5c078cc8f4,J05AB06
7bf66913-cdd5-4150-b340-6a54696ddd29,V04CL
b300aae7-7a56-47dd-aea0-3e3eaa02e988,D07AA02
451546b4-50c3-45da-bee1-9e46f3dcfb1e,D07AC13
c7a78e9b-dbf2-45d7-950d-15bcc8ec4cfb,N05CF02
856397e7-768c-4a90-8323-2d77ba53066a,J04BA02
a4a8345c-4054-4ef7-bdfc-eeaf49ae8a56,M03BX02
c5d6a0ee-4daf-41aa-a563-864321a13a4f,N06AB04
294d6811-f277-4f87-b8a6-2b14ea27cc73,C07BB02
cf83d0a9-03eb-42fe-a859-652e4fe1a6ac,C07BB02
d955c2f4-48e1-4b1a-84a0-8f30ec8e08d8,C10AA01
2b01a4f4-ac85-4c6e-8c96-137e8fbcc643,C08CA01
4acb7348-eb53-40e6-8395-41c853a9ae5d,P01BC02
a72404f6-3bcb-43cd-ae84-fef6c8e6e0cc,C07CB03
9567d7af-52cd-4b59-91a3-0ccf14b0501b,N06AX03
885e87d9-29c0-47b0-b47e-781073e64dea,R03BA02
d1c501d2-b91f-4bc3-90a2-5a00d1287cc7,G04CA01
67495c66-229c-4f93-bb83-dd73bc0494ec,N06AB06
04971e5b-2109-4929-bc03-6c7d4ce51e34,L01DB06
e0d4fc10-34aa-4c03-8d00-513295fa1d63,A04AA01
78087646-35af-4cf9-b8be-e6da4eb26650,B01AB10
8db80f1f-0147-448c-ab29-9cd7ab754c08,C10AC01
d164a4e2-57d1-4567-8b48-28dd0162b5c0,R01AD08
91f07685-2d31-4d8b-bdf5-6fb23fdf6e5b,N03AG04
be3ebc2e-8852-4a83-97fc-93542ef95a0a,R03CC12
092a9f3d-5919-4d21-814d-3d1b2e3faca2,N02BA01
c186d259-0ae0-4daf-ba77-c23b34a659a9,J02AC02
11a99914-e846-404a-acfe-d734b6b0bd3e,N06AB05
026bdd5b-a733-460b-b5f3-dbd3323817b3,N01AH03
fb159671-053d-4b1f-ab6f-d2ea69e32832,N03AX09
4cd03dc5-178a-4b07-8f9e-fa9f2521e12e,J01FA09
898dbfc1-ea9c-4ebc-85f9-3cbff90befb1,A07DA03
9c4244fb-af6d-4956-b129-8790afea7f06,C08CA05
c8d70187-3a26-4aeb-a9c8-d29e70d34f6a,R03BA01
700cf656-849f-4a13-a10f-588ffebbb885,L01BC02
