ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
B01AE07,B,B01,B01A,B01AE,B01AE07
B01AF01,B,B01,B01A,B01AF,B01AF01
B01AF02,B,B01,B01A,B01AF,B01AF02
B01AF03,B,B01,B01A,B01AF,B01AF03
B01AF04,B,B01,B01A,B01AF,B01AF04
B01AX01,B,B01,B01A,B01AX,B01AX01
B01AX05,B,B01,B01A,B01AX,B01AX05
B01AX07,B,B01,B01A,B01AX,B01AX07
B01AA01,B,B01,B01A,B01AA,B01AA01
B01AA02,B,B01,B01A,B01AA,B01AA02
B01AA03,B,B01,B01A,B01AA,B01AA03
B01AA04,B,B01,B01A,B01AA,B01AA04
B01AA07,B,B01,B01A,B01AA,B01AA07
B01AA08,B,B01,B01A,B01AA,B01AA08
B01AA09,B,B01,B01A,B01AA,B01AA09
B01AA10,B,B01,B01A,B01AA,B01AA10
B01AA11,B,B01,B01A,B01AA,B01AA11
B01AA12,B,B01,B01A,B01AA,B01AA12
B02AB01,B,B02,B02A,B02AB,B02AB01
B02AB04,B,B02,B02A,B02AB,B02AB04
B02AB05,B,B02,B02A,B02AB,B02AB05
B02BA01,B,B02,B02B,B02BA,B02BA01
B02BA02,B,B02,B02B,B02BA,B02BA02
B02BB01,B,B02,B02B,B02BB,B02BB01
B02BC02,B,B02,B02B,B02BC,B02BC02
B02BC05,B,B02,B02B,B02BC,B02BC05
B02BC06,B,B02,B02B,B02BC,B02BC06
B02BC09,B,B02,B02B,B02BC,B02BC09
B02BC30,B,B02,B02B,B02BC,B02BC30
B02BD02,B,B02,B02B,B02BD,B02BD02
B02BD04,B,B02,B02B,B02BD,B02BD04
B02BD05,B,B02,B02B,B02BD,B02BD05
B02BD07,B,B02,B02B,B02BD,B02BD07
B02BD08,B,B02,B02B,B02BD,B02BD08
B02BD10,B,B02,B02B,B02BD,B02BD10
B02BD11,B,B02,B02B,B02BD,B02BD11
B02BD30,B,B02,B02B,B02BD,B02BD30
B02BX03,B,B02,B02B,B02BX,B02BX03
B02BX05,B,B02,B02B,B02BX,B02BX05
B02BX08,B,B02,B02B,B02BX,B02BX08
B02BX09,B,B02,B02B,B02BX,B02BX09
B02AA01,B,B02,B02A,B02AA,B02AA01
B02AA02,B,B02,B02A,B02AA,B02AA02
B02AA03,B,B02,B02A,B02AA,B02AA03
B03AB02,B,B03,B03A,B03AB,B03AB02
B03AB03,B,B03,B03A,B03AB,B03AB03
B03AB05,B,B03,B03A,B03AB,B03AB05
B03AB07,B,B03,B03A,B03AB,B03AB07
B03AB10,B,B03,B03A,B03AB,B03AB10
B03AD02,B,B03,B03A,B03AD,B03AD02
B03AD03,B,B03,B03A,B03AD,B03AD03
B03AD04,B,B03,B03A,B03AD,B03AD04
B03BA03,B,B03,B03B,B03BA,B03BA03
B03BB01,B,B03,B03B,B03BB,B03BB01
B03XA05,B,B03,B03X,B03XA,B03XA05
