ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
B01AC15,B,B01,B01A,B01AC,B01AC15
B01AC16,B,B01,B01A,B01AC,B01AC16
B01AC17,B,B01,B01A,B01AC,B01AC17
B01AC18,B,B01,B01A,B01AC,B01AC18
B01AC19,B,B01,B01A,B01AC,B01AC19
B01AC21,B,B01,B01A,B01AC,B01AC21
B01AC22,B,B01,B01A,B01AC,B01AC22
B01AC23,B,B01,B01A,B01AC,B01AC23
B01AC24,B,B01,B01A,B01AC,B01AC24
B01AC25,B,B01,B01A,B01AC,B01AC25
B01AC26,B,B01,B01A,B01AC,B01AC26
B01AC27,B,B01,B01A,B01AC,B01AC27
B01AC56,B,B01,B01A,B01AC,B01AC56
B01AD01,B,B01,B01A,B01AD,B01AD01
B01AD02,B,B01,B01A,B01AD,B01AD02
B01AD03,B,B01,B01A,B01AD,B01AD03
B01AD04,B,B01,B01A,B01AD,B01AD04
B01AD05,B,B01,B01A,B01AD,B01AD05
B01AD06,B,B01,B01A,B01AD,B01AD06
B01AD07,B,B01,B01A,B01AD,B01AD07
B01AD08,B,B01,B01A,B01AD,B01AD08
B01AD09,B,B01,B01A,B01AD,B01AD09
B01AD10,B,B01,B01A,B01AD,B01AD10
B01AD11,B,B01,B01A,B01AD,B01AD11
B01AD12,B,B01,B01A,B01AD,B01AD12
B01AE01,B,B01,B01A,B01AE,B01AE01
B01AE02,B,B01,B01A,B01AE,B01AE02
B01AE03,B,B01,B01A,B01AE,B01AE03
B01AE04,B,B01,B01A,B01AE,B01AE04
B01AE05,B,B01,B01A,B01AE,B01AE05
B01AE06,B,B01,B01A,B01AE,B01AE06
B01AE07,B,B01,B01A,B01AE,B01AE07
B01AF01,B,B01,B01A,B01AF,B01AF01
B01AF02,B,B01,B01A,B01AF,B01AF02
B01AF03,B,B01,B01A,B01AF,B01AF03
B01AX01,B,B01,B01A,B01AX,B01AX01
B01AX05,B,B01,B01A,B01AX,B01AX05
B01AX07,B,B01,B01A,B01AX,B01AX07
B01AA01,B,B01,B01A,B01AA,B01AA01
B01AA02,B,B01,B01A,B01AA,B01AA02
B01AA03,B,B01,B01A,B01AA,B01AA03
B01AA04,B,B01,B01A,B01AA,B01AA04
B01AA07,B,B01,B01A,B01AA,B01AA07
B01AA08,B,B01,B01A,B01AA,B01AA08
B01AA09,B,B01,B01A,B01AA,B01AA09
B01AA10,B,B01,B01A,B01AA,B01AA10
B01AA11,B,B01,B01A,B01AA,B01AA11
B01AA12,B,B01,B01A,B01AA,B01AA12
B02AB01,B,B02,B02A,B02AB,B02AB01
B02AB02,B,B02,B02A,B02AB,B02AB02
B02AB04,B,B02,B02A,B02AB,B02AB04
B02BA01,B,B02,B02B,B02BA,B02BA01
B02BA02,B,B02,B02B,B02BA,B02BA02
B02BB01,B,B02,B02B,B02BB,B02BB01
B02BC05,B,B02,B02B,B02BC,B02BC05
B02BC09,B,B02,B02B,B02BC,B02BC09
B02BD02,B,B02,B02B,B02BD,B02BD02
