ATC_CODE,ATC_Level_1,ATC_Level_2,ATC_Level_3,ATC_Level_4,ATC_Level_5
C07FX01,C,C07,C07F,C07FX,C07FX01
C07FX02,C,C07,C07F,C07FX,C07FX02
C07FX03,C,C07,C07F,C07FX,C07FX03
C07FX04,C,C07,C07F,C07FX,C07FX04
C07FX05,C,C07,C07F,C07FX,C07FX05
C07FX06,C,C07,C07F,C07FX,C07FX06
C07AA02,C,C07,C07A,C07AA,C07AA02
C07AA03,C,C07,C07A,C07AA,C07AA03
C07AA05,C,C07,C07A,C07AA,C07AA05
C07AA06,C,C07,C07A,C07AA,C07AA06
C07AA07,C,C07,C07A,C07AA,C07AA07
C08CA01,C,C08,C08C,C08CA,C08CA01
C08CA02,C,C08,C08C,C08CA,C08CA02
C08CA04,C,C08,C08C,C08CA,C08CA04
C08CA05,C,C08,C08C,C08CA,C08CA05
C08CA07,C,C08,C08C,C08CA,C08CA07
C08CA08,C,C08,C08C,C08CA,C08CA08
C08CA09,C,C08,C08C,C08CA,C08CA09
C08CA13,C,C08,C08C,C08CA,C08CA13
C08CA55,C,C08,C08C,C08CA,C08CA55
C08DA01,C,C08,C08D,C08DA,C08DA01
C08DA51,C,C08,C08D,C08DA,C08DA51
C08DB01,C,C08,C08D,C08DB,C08DB01
C08EA02,C,C08,C08E,C08EA,C08EA02
C08GA01,C,C08,C08G,C08GA,C08GA01
C08GA02,C,C08,C08G,C08GA,C08GA02
C09BA01,C,C09,C09B,C09BA,C09BA01
C09BA02,C,C09,C09B,C09BA,C09BA02
C09BA03,C,C09,C09B,C09BA,C09BA03
C09BA04,C,C09,C09B,C09BA,C09BA04
C09BA05,C,C09,C09B,C09BA,C09BA05
C09BA06,C,C09,C09B,C09BA,C09BA06
C09BA08,C,C09,C09B,C09BA,C09BA08
C09BB02,C,C09,C09B,C09BB,C09BB02
C09BB03,C,C09,C09B,C09BB,C09BB03
C09BB04,C,C09,C09B,C09BB,C09BB04
C09BB05,C,C09,C09B,C09BB,C09BB05
C09BB06,C,C09,C09B,C09BB,C09BB06
C09BB07,C,C09,C09B,C09BB,C09BB07
C09BB10,C,C09,C09B,C09BB,C09BB10
C09BX01,C,C09,C09B,C09BX,C09BX01
C09BX02,C,C09,C09B,C09BX,C09BX02
C09BX03,C,C09,C09B,C09BX,C09BX03
C09CA01,C,C09,C09C,C09CA,C09CA01
C09CA02,C,C09,C09C,C09CA,C09CA02
C09CA03,C,C09,C09C,C09CA,C09CA03
C09CA04,C,C09,C09C,C09CA,C09CA04
C09CA06,C,C09,C09C,C09CA,C09CA06
C09CA07,C,C09,C09C,C09CA,C09CA07
C09CA08,C,C09,C09C,C09CA,C09CA08
C09DA01,C,C09,C09D,C09DA,C09DA01
C09DA02,C,C09,C09D,C09DA,C09DA02
C09DA03,C,C09,C09D,C09DA,C09DA03
C09DA04,C,C09,C09D,C09DA,C09DA04
C09DA06,C,C09,C09D,C09DA,C09DA06
C09DA07,C,C09,C09D,C09DA,C09DA07
C09DA08,C,C09,C09D,C09DA,C09DA08
C09DB01,C,C09,C09D,C09DB,C09DB01
