drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
G03AA09,N03AF01,veldokumenteret,moderat,1,G,N,G03AA09_N03AF01
G03CA04,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03CA04_J05AR14
J05AR15,G04CA01,ringe dokumenteret,mulig,1,J,G,G04CA01_J05AR15
C01BD01,J05AR22,ringe dokumenteret,uafklaret,1,C,J,C01BD01_J05AR22
J05AR15,J04AM02,ringe dokumenteret,uafklaret,1,J,J,J04AM02_J05AR15
G03FA12,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03FA12_J05AR14
J05AG05,J04AB02,dokumenteret,udtalt,1,J,J,J04AB02_J05AG05
G03FB05,N03AF04,dokumenteret,moderat,1,G,N,G03FB05_N03AF04
C01BD01,V03AX03,ringe dokumenteret,uafklaret,1,C,V,C01BD01_V03AX03
N03AA02,G03AB05,begrænset dokumenteret,moderat,1,N,G,G03AB05_N03AA02
J05AG03,J05AP09,dokumenteret,udtalt,1,J,J,J05AG03_J05AP09
N06AB08,L04AX05,dokumenteret,udtalt,1,N,L,L04AX05_N06AB08
S01XA18,B01AC24,dokumenteret,udtalt,1,S,B,B01AC24_S01XA18
L01XX52,J04AM06,dokumenteret,udtalt,1,L,J,J04AM06_L01XX52
G03FB05,J05AE10,begrænset dokumenteret,mulig,1,G,J,G03FB05_J05AE10
G02BB01,J05AE10,begrænset dokumenteret,mulig,1,G,J,G02BB01_J05AE10
G03AA07,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03AA07_J05AR14
J05AR15,C10AA01,ringe dokumenteret,uafklaret,1,J,C,C10AA01_J05AR15
L01BA01,M04AB01,dokumenteret,moderat,1,L,M,L01BA01_M04AB01
G03FA01,J05AR14,begrænset dokumenteret,mulig,1,G,J,G03FA01_J05AR14
G03AA09,J05AE03,veldokumenteret,mulig,1,G,J,G03AA09_J05AE03
