drug,codrug,Evidence_level,Clinical_significance,Management_option,level_1_atc_drug,level_1_atc_codrug,ATC_vector
S02CA06,D09AB01,dokumenteret,mulig,7,S,D,D09AB01_S02CA06
N07BB01,B05DB,ringe dokumenteret,mulig,7,N,B,B05DB_N07BB01
G03AB03,N02BA51,dokumenteret,uafklaret,7,G,N,G03AB03_N02BA51
N07BB01,A02AD01,ringe dokumenteret,mulig,7,N,A,A02AD01_N07BB01
L04AA31,N02BE51,dokumenteret,mulig,7,L,N,L04AA31_N02BE51
L03AB05,N02BE51,veldokumenteret,moderat,7,L,N,L03AB05_N02BE51
C07BB02,A10AE56,dokumenteret,moderat,7,C,A,A10AE56_C07BB02
V03AB15,J05AP09,dokumenteret,mulig,7,V,J,J05AP09_V03AB15
J05AG04,J05AR14,dokumenteret,mulig,7,J,J,J05AG04_J05AR14
B05BA10,N02BA51,dokumenteret,mulig,7,B,N,B05BA10_N02BA51
N05AH02,N03AX16,ringe dokumenteret,mulig,7,N,N,N03AX16_N05AH02
A10BB01,C03AB01,ringe dokumenteret,mulig,7,A,C,A10BB01_C03AB01
J02AC02,D08AC02,dokumenteret,mulig,7,J,D,D08AC02_J02AC02
S02CA03,A16AX05,dokumenteret,mulig,7,S,A,A16AX05_S02CA03
J05AX08,J05AG04,dokumenteret,mulig,7,J,J,J05AG04_J05AX08
S01AE03,B05XX,dokumenteret,mulig,7,S,B,B05XX_S01AE03
S02CA03,B05BB02,dokumenteret,mulig,7,S,B,B05BB02_S02CA03
A08AA62,B01AC04,dokumenteret,moderat,7,A,B,A08AA62_B01AC04
G03FA12,J05AR10,dokumenteret,mulig,7,G,J,G03FA12_J05AR10
V04CL,B05ZB,ringe dokumenteret,mulig,7,V,B,B05ZB_V04CL
J05AR10,J05AE10,dokumenteret,mulig,7,J,J,J05AE10_J05AR10
N02AJ07,C07AA05,dokumenteret,moderat,7,N,C,C07AA05_N02AJ07
C07BB02,A10AE05,dokumenteret,moderat,7,C,A,A10AE05_C07BB02
D01AE15,C07FX05,ringe dokumenteret,moderat,7,D,C,C07FX05_D01AE15
J01MA02,D05AA,dokumenteret,mulig,7,J,D,D05AA_J01MA02
J05AX08,G03AA09,dokumenteret,uafklaret,7,J,G,G03AA09_J05AX08
N02BA01,C05AE01,begrænset dokumenteret,uafklaret,7,N,C,C05AE01_N02BA01
N02BE01,N03AA02,ringe dokumenteret,mulig,7,N,N,N02BE01_N03AA02
A10BD24,A10BJ05,dokumenteret,moderat,7,A,A,A10BD24_A10BJ05
D01AC08,R01BA52,veldokumenteret,mulig,7,D,R,D01AC08_R01BA52
L01XE02,G03FA01,ringe dokumenteret,mulig,7,L,G,G03FA01_L01XE02
A11GA01,J05AE02,dokumenteret,uafklaret,7,A,J,A11GA01_J05AE02
C10AB04,A10BB07,dokumenteret,mulig,7,C,A,A10BB07_C10AB04
N02AJ07,L01BA01,dokumenteret,moderat,7,N,L,L01BA01_N02AJ07
C08CA13,C10BA02,dokumenteret,mulig,7,C,C,C08CA13_C10BA02
C10BA02,C10BA05,ringe dokumenteret,uafklaret,7,C,C,C10BA02_C10BA05
N02BE51,B03AC,begrænset dokumenteret,mulig,7,N,B,B03AC_N02BE51
J05AX08,G03FA17,dokumenteret,uafklaret,7,J,G,G03FA17_J05AX08
V03AF03,S01XA18,ringe dokumenteret,ringe,7,V,S,S01XA18_V03AF03
B01AC06,B01AC04,veldokumenteret,moderat,7,B,B,B01AC04_B01AC06
A10BD09,C10AA05,ringe dokumenteret,mulig,7,A,C,A10BD09_C10AA05
A10BJ02,C09BA05,ringe dokumenteret,mulig,7,A,C,A10BJ02_C09BA05
C07FX05,A10AE56,dokumenteret,moderat,7,C,A,A10AE56_C07FX05
J05AP53,J05AE10,dokumenteret,mulig,7,J,J,J05AE10_J05AP53
C07BB02,A10AD06,dokumenteret,moderat,7,C,A,A10AD06_C07BB02
J01AA12,L04AD01,ringe dokumenteret,mulig,7,J,L,J01AA12_L04AD01
S02CA05,C01AA05,ringe dokumenteret,mulig,7,S,C,C01AA05_S02CA05
B01AC04,C10AA04,veldokumenteret,uafklaret,7,B,C,B01AC04_C10AA04
N02BE51,B03AA01,begrænset dokumenteret,mulig,7,N,B,B03AA01_N02BE51
G03FB06,N05BA01,dokumenteret,mulig,7,G,N,G03FB06_N05BA01
C10AX09,C10AA05,ringe dokumenteret,uafklaret,7,C,C,C10AX09_C10AA05
G03AA16,N05BA01,dokumenteret,mulig,7,G,N,G03AA16_N05BA01
N02BE01,B03AA01,begrænset dokumenteret,mulig,7,N,B,B03AA01_N02BE01
N02BE01,B03AC,begrænset dokumenteret,mulig,7,N,B,B03AC_N02BE01
C09DB01,A08AB01,ringe dokumenteret,uafklaret,7,C,A,A08AB01_C09DB01
G03AA09,N02AJ06,veldokumenteret,ringe,7,G,N,G03AA09_N02AJ06
B01AC30,B01AC04,veldokumenteret,moderat,7,B,B,B01AC04_B01AC30
S01XA18,C08CA02,veldokumenteret,moderat,7,S,C,C08CA02_S01XA18
L02AB02,N05BA01,dokumenteret,mulig,7,L,N,L02AB02_N05BA01
C08CA05,J01FA09,ringe dokumenteret,mulig,7,C,J,C08CA05_J01FA09
J02AC02,D04AB01,dokumenteret,mulig,7,J,D,D04AB01_J02AC02
J01MA02,B05BA10,dokumenteret,mulig,7,J,B,B05BA10_J01MA02
A10BD11,A08AB01,dokumenteret,moderat,7,A,A,A08AB01_A10BD11
B01AC30,L03AB05,veldokumenteret,moderat,7,B,L,B01AC30_L03AB05
J01FA09,N03AF02,ringe dokumenteret,mulig,7,J,N,J01FA09_N03AF02
C07BB02,A10AB05,dokumenteret,moderat,7,C,A,A10AB05_C07BB02
A10BB01,A10BH02,dokumenteret,moderat,7,A,A,A10BB01_A10BH02
A10BG03,C10BA05,ringe dokumenteret,mulig,7,A,C,A10BG03_C10BA05
B05BA01,C05AE01,begrænset dokumenteret,mulig,7,B,C,B05BA01_C05AE01
B01AC06,N02BA75,veldokumenteret,mulig,7,B,N,B01AC06_N02BA75
G03DB08,B02AA02,ringe dokumenteret,uafklaret,7,G,B,B02AA02_G03DB08
N02AA05,N06AB08,begrænset dokumenteret,mulig,7,N,N,N02AA05_N06AB08
H02AB02,J05AH02,dokumenteret,mulig,7,H,J,H02AB02_J05AH02
J01XX08,J01FA10,ringe dokumenteret,mulig,7,J,J,J01FA10_J01XX08
C08CA13,C10AA01,dokumenteret,mulig,7,C,C,C08CA13_C10AA01
S01CA01,J05AH02,dokumenteret,mulig,7,S,J,J05AH02_S01CA01
J05AX08,J05AR06,dokumenteret,mulig,7,J,J,J05AR06_J05AX08
G03FB06,N02CC02,ringe dokumenteret,uafklaret,7,G,N,G03FB06_N02CC02
B01AC30,B01AC30,veldokumenteret,moderat,7,B,B,B01AC30_B01AC30
C09AA02,J04AM06,ringe dokumenteret,uafklaret,7,C,J,C09AA02_J04AM06
N05CD08,M04AB01,dokumenteret,moderat,7,N,M,M04AB01_N05CD08
A10BD06,A10BD25,dokumenteret,mulig,7,A,A,A10BD06_A10BD25
L04AA31,N06BC01,dokumenteret,mulig,7,L,N,L04AA31_N06BC01
N02BA01,C01DA02,begrænset dokumenteret,uafklaret,7,N,C,C01DA02_N02BA01
N02AB03,N06AB06,ringe dokumenteret,mulig,7,N,N,N02AB03_N06AB06
N06DX02,S01XA18,ringe dokumenteret,uafklaret,7,N,S,N06DX02_S01XA18
C07BB02,A10AD05,dokumenteret,moderat,7,C,A,A10AD05_C07BB02
J02AC02,C05AD01,dokumenteret,mulig,7,J,C,C05AD01_J02AC02
A10BD06,A10BD08,dokumenteret,mulig,7,A,A,A10BD06_A10BD08
C07BB02,A10AB04,dokumenteret,moderat,7,C,A,A10AB04_C07BB02
G03DB08,J05AR10,dokumenteret,mulig,7,G,J,G03DB08_J05AR10
J04AM02,H03AA01,dokumenteret,mulig,7,J,H,H03AA01_J04AM02
A10BD09,A10BD05,dokumenteret,mulig,7,A,A,A10BD05_A10BD09
N02BE51,B03AA07,begrænset dokumenteret,mulig,7,N,B,B03AA07_N02BE51
J01MA02,B05XA,dokumenteret,mulig,7,J,B,B05XA_J01MA02
N02BE51,B05XX,begrænset dokumenteret,mulig,7,N,B,B05XX_N02BE51
D01AE15,C07BB02,ringe dokumenteret,moderat,7,D,C,C07BB02_D01AE15
N05AH03,N06AB03,dokumenteret,moderat,7,N,N,N05AH03_N06AB03
L01XE11,L01AA06,dokumenteret,mulig,7,L,L,L01XE11_L01AA06
S02CA03,B05XA,dokumenteret,mulig,7,S,B,B05XA_S02CA03
A02AD01,V04CL,ringe dokumenteret,mulig,7,A,V,A02AD01_V04CL
C07BB02,A10AE54,dokumenteret,moderat,7,C,A,A10AE54_C07BB02
N03AA03,N02BE01,ringe dokumenteret,mulig,7,N,N,N02BE01_N03AA03
A10BJ02,C09AA02,ringe dokumenteret,mulig,7,A,C,A10BJ02_C09AA02
V04CL,A12CC30,ringe dokumenteret,mulig,7,V,A,A12CC30_V04CL
V04CL,B05BB01,ringe dokumenteret,mulig,7,V,B,B05BB01_V04CL
J01CA04,M04AB01,veldokumenteret,moderat,7,J,M,J01CA04_M04AB01
N02BA51,N02BA51,veldokumenteret,mulig,7,N,N,N02BA51_N02BA51
N02BE51,B05XA31,begrænset dokumenteret,mulig,7,N,B,B05XA31_N02BE51
C09AA02,J04AB02,ringe dokumenteret,uafklaret,7,C,J,C09AA02_J04AB02
J01DD52,C03EB01,dokumenteret,mulig,4,J,C,C03EB01_J01DD52
S02CA06,B05AA06,veldokumenteret,udtalt,4,S,B,B05AA06_S02CA06
B03AB10,S03CA04,dokumenteret,udtalt,4,B,S,B03AB10_S03CA04
C10AC02,C09BA03,dokumenteret,moderat,4,C,C,C09BA03_C10AC02
N04BA03,B03AA02,dokumenteret,udtalt,4,N,B,B03AA02_N04BA03
S01AE03,V03AE05,veldokumenteret,moderat,4,S,V,S01AE03_V03AE05
B03AA01,D06AA03,dokumenteret,udtalt,4,B,D,B03AA01_D06AA03
B05XX,D07CA01,dokumenteret,udtalt,4,B,D,B05XX_D07CA01
S02CA03,B05D,veldokumenteret,udtalt,4,S,B,B05D_S02CA03
S02AA15,B05XX,veldokumenteret,moderat,4,S,B,B05XX_S02AA15
A02BX13,B03AA01,veldokumenteret,moderat,4,A,B,A02BX13_B03AA01
A12AX,S01AE05,begrænset dokumenteret,mulig,4,A,S,A12AX_S01AE05
C09AA01,B03AB10,dokumenteret,mulig,4,C,B,B03AB10_C09AA01
N04BA02,B03AA02,dokumenteret,udtalt,4,N,B,B03AA02_N04BA02
B03AC,S03CA04,dokumenteret,udtalt,4,B,S,B03AC_S03CA04
A02BX13,B03AB10,veldokumenteret,moderat,4,A,B,A02BX13_B03AB10
S01AE03,N02AJ07,veldokumenteret,udtalt,4,S,N,N02AJ07_S01AE03
B03AC,B05AA06,veldokumenteret,moderat,4,B,B,B03AC_B05AA06
B03AC,B05BB01,veldokumenteret,moderat,4,B,B,B03AC_B05BB01
B03AC,B05BA10,veldokumenteret,moderat,4,B,B,B03AC_B05BA10
A02BX02,H03AA01,veldokumenteret,mulig,4,A,H,A02BX02_H03AA01
A06AB58,J01AA07,dokumenteret,udtalt,4,A,J,A06AB58_J01AA07
B03AC,S01AA30,dokumenteret,udtalt,4,B,S,B03AC_S01AA30
S02CA06,B03AC,veldokumenteret,moderat,4,S,B,B03AC_S02CA06
C05AD01,N02AA01,dokumenteret,mulig,4,C,N,C05AD01_N02AA01
B05XA31,N02BA75,veldokumenteret,moderat,4,B,N,B05XA31_N02BA75
C09BA01,B03AC,dokumenteret,mulig,4,C,B,B03AC_C09BA01
L01XE08,A02AD01,dokumenteret,uafklaret,4,L,A,A02AD01_L01XE08
C10AC02,C09DA04,dokumenteret,moderat,4,C,C,C09DA04_C10AC02
A02BX13,J01MA14,begrænset dokumenteret,mulig,4,A,J,A02BX13_J01MA14
L01XE06,B05BB01,dokumenteret,udtalt,4,L,B,B05BB01_L01XE06
J07CA02,B03AA02,veldokumenteret,moderat,4,J,B,B03AA02_J07CA02
B05BA01,S01AE03,veldokumenteret,moderat,4,B,S,B05BA01_S01AE03
B05ZB,S01AE07,begrænset dokumenteret,mulig,4,B,S,B05ZB_S01AE07
A02AD01,S02CA06,veldokumenteret,udtalt,4,A,S,A02AD01_S02CA06
B05XA31,N02AJ07,veldokumenteret,moderat,4,B,N,B05XA31_N02AJ07
B05ZB,C07AA07,begrænset dokumenteret,ringe,4,B,C,B05ZB_C07AA07
C10AC04,A10BD06,dokumenteret,mulig,4,C,A,A10BD06_C10AC04
A02BX13,B05XX,veldokumenteret,moderat,4,A,B,A02BX13_B05XX
C09AA01,B03AA01,dokumenteret,mulig,4,C,B,B03AA01_C09AA01
N04BA02,B03AA07,dokumenteret,udtalt,4,N,B,B03AA07_N04BA02
L01XE06,B05D,dokumenteret,udtalt,4,L,B,B05D_L01XE06
B05XX,N02AJ07,veldokumenteret,moderat,4,B,N,B05XX_N02AJ07
N04BA02,B03AA07,veldokumenteret,udtalt,4,N,B,B03AA07_N04BA02
S01AE07,B03AB10,dokumenteret,moderat,4,S,B,B03AB10_S01AE07
L01XE06,B05BB02,dokumenteret,udtalt,4,L,B,B05BB02_L01XE06
J01AA02,B05DB,veldokumenteret,udtalt,4,J,B,B05DB_J01AA02
C10AC01,N03AG01,dokumenteret,moderat,4,C,N,C10AC01_N03AG01
A02AA04,N03AX12,veldokumenteret,uafklaret,4,A,N,A02AA04_N03AX12
C10AC04,G03FA17,dokumenteret,mulig,4,C,G,C10AC04_G03FA17
S01AE03,A12CC04,veldokumenteret,udtalt,4,S,A,A12CC04_S01AE03
S02CA06,B05BB01,veldokumenteret,udtalt,4,S,B,B05BB01_S02CA06
B05DB,S01AE05,begrænset dokumenteret,mulig,4,B,S,B05DB_S01AE05
J02AC02,B05BA10,dokumenteret,moderat,4,J,B,B05BA10_J02AC02
B03AA01,B05DB,veldokumenteret,moderat,4,B,B,B03AA01_B05DB
A02AD01,C07AA07,begrænset dokumenteret,ringe,4,A,C,A02AD01_C07AA07
J01MA02,B03AA01,veldokumenteret,moderat,4,J,B,B03AA01_J01MA02
B05XA31,B05D,veldokumenteret,moderat,4,B,B,B05D_B05XA31
C09BA01,B05XX,dokumenteret,mulig,4,C,B,B05XX_C09BA01
B02BC30,J01MA12,begrænset dokumenteret,mulig,4,B,J,B02BC30_J01MA12
B05D,J01MA14,begrænset dokumenteret,mulig,4,B,J,B05D_J01MA14
A12AA07,S02CA03,veldokumenteret,moderat,4,A,S,A12AA07_S02CA03
J02AC02,A12CC30,dokumenteret,moderat,4,J,A,A12CC30_J02AC02
A02BX13,B03AA02,veldokumenteret,moderat,4,A,B,A02BX13_B03AA02
C10AC02,C07BB12,dokumenteret,moderat,4,C,C,C07BB12_C10AC02
A12AA06,J01AA07,veldokumenteret,moderat,4,A,J,A12AA06_J01AA07
C05AD01,N02AA51,dokumenteret,mulig,4,C,N,C05AD01_N02AA51
S02CA03,A02BX02,veldokumenteret,udtalt,4,S,A,A02BX02_S02CA03
J05AR01,J01FA09,ringe dokumenteret,moderat,4,J,J,J01FA09_J05AR01
N04BA03,B03AA07,dokumenteret,udtalt,4,N,B,B03AA07_N04BA03
D04AB01,N02AA01,dokumenteret,mulig,4,D,N,D04AB01_N02AA01
A12AA06,J01MA02,veldokumenteret,moderat,4,A,J,A12AA06_J01MA02
J01AA02,N02AJ07,veldokumenteret,udtalt,4,J,N,J01AA02_N02AJ07
J01DD52,C03CA01,dokumenteret,mulig,4,J,C,C03CA01_J01DD52
J02AB02,B05BB01,ringe dokumenteret,mulig,4,J,B,B05BB01_J02AB02
D01AC08,A02AA04,ringe dokumenteret,mulig,4,D,A,A02AA04_D01AC08
B05BA01,S02AA15,veldokumenteret,moderat,4,B,S,B05BA01_S02AA15
A12AX,J01MA02,veldokumenteret,moderat,4,A,J,A12AX_J01MA02
C09AA01,B03AC,dokumenteret,mulig,4,C,B,B03AC_C09AA01
B05AA06,C07AA07,begrænset dokumenteret,ringe,4,B,C,B05AA06_C07AA07
S02CA03,B03AA02,veldokumenteret,moderat,4,S,B,B03AA02_S02CA03
B02BX05,A02AB04,dokumenteret,mulig,4,B,A,A02AB04_B02BX05
B03AA02,S03CA04,dokumenteret,udtalt,4,B,S,B03AA02_S03CA04
B05BB02,J01MA02,veldokumenteret,moderat,4,B,J,B05BB02_J01MA02
B03AA02,N02BA75,veldokumenteret,moderat,4,B,N,B03AA02_N02BA75
B02BB01,J01MA12,begrænset dokumenteret,mulig,4,B,J,B02BB01_J01MA12
B05XX,B05DB,veldokumenteret,moderat,4,B,B,B05DB_B05XX
A12CC04,S01AE07,begrænset dokumenteret,moderat,4,A,S,A12CC04_S01AE07
B03AA07,D06AA03,dokumenteret,udtalt,4,B,D,B03AA07_D06AA03
J01MA02,B05AA06,veldokumenteret,udtalt,4,J,B,B05AA06_J01MA02
B05ZB,J01MA14,begrænset dokumenteret,moderat,4,B,J,B05ZB_J01MA14
A02AD01,C02KX05,dokumenteret,moderat,4,A,C,A02AD01_C02KX05
S02CA06,B05XA31,veldokumenteret,moderat,4,S,B,B05XA31_S02CA06
S02CA06,B05XX,veldokumenteret,moderat,4,S,B,B05XX_S02CA06
S02CA03,B05BA10,veldokumenteret,udtalt,4,S,B,B05BA10_S02CA03
B02BB01,S01AE07,begrænset dokumenteret,mulig,4,B,S,B02BB01_S01AE07
N02AJ07,C07AA07,begrænset dokumenteret,ringe,4,N,C,C07AA07_N02AJ07
N04BA02,B05XX,dokumenteret,udtalt,4,N,B,B05XX_N04BA02
L01XE06,A02BX13,dokumenteret,udtalt,4,L,A,A02BX13_L01XE06
D01AC08,A12CC04,ringe dokumenteret,mulig,4,D,A,A12CC04_D01AC08
B05D,S01AE07,begrænset dokumenteret,moderat,4,B,S,B05D_S01AE07
B05AA06,S01AE05,begrænset dokumenteret,mulig,4,B,S,B05AA06_S01AE05
S02CA03,B05DB,veldokumenteret,udtalt,4,S,B,B05DB_S02CA03
C10AC01,M01AB05,dokumenteret,uafklaret,4,C,M,C10AC01_M01AB05
A02BX13,J01MA02,veldokumenteret,moderat,4,A,J,A02BX13_J01MA02
N04BA02,B05XA31,dokumenteret,udtalt,4,N,B,B05XA31_N04BA02
L01XE06,B05ZB,dokumenteret,udtalt,4,L,B,B05ZB_L01XE06
S01AE03,B05BB02,veldokumenteret,udtalt,4,S,B,B05BB02_S01AE03
V03AE04,S02AA15,veldokumenteret,moderat,4,V,S,S02AA15_V03AE04
A02BX13,J02AB02,ringe dokumenteret,mulig,4,A,J,A02BX13_J02AB02
A02BX13,S01AE05,begrænset dokumenteret,mulig,4,A,S,A02BX13_S01AE05
A02BX02,J01MA12,dokumenteret,moderat,4,A,J,A02BX02_J01MA12
J07CA02,J01AA07,dokumenteret,udtalt,4,J,J,J01AA07_J07CA02
C10AC01,M02AA13,dokumenteret,uafklaret,4,C,M,C10AC01_M02AA13
V03AE05,B05AA07,veldokumenteret,moderat,4,V,B,B05AA07_V03AE05
J02AB02,B05ZB,ringe dokumenteret,mulig,4,J,B,B05ZB_J02AB02
J02AB02,A02AA04,ringe dokumenteret,mulig,4,J,A,A02AA04_J02AB02
B03AA07,B05BB01,veldokumenteret,moderat,4,B,B,B03AA07_B05BB01
G03AC01,C10AC04,dokumenteret,mulig,4,G,C,C10AC04_G03AC01
B03AA02,B05BB01,veldokumenteret,moderat,4,B,B,B03AA02_B05BB01
V03AE05,N02AJ07,veldokumenteret,moderat,4,V,N,N02AJ07_V03AE05
B05ZB,J01AA07,veldokumenteret,moderat,4,B,J,B05ZB_J01AA07
B05BB02,C02KX05,dokumenteret,moderat,4,B,C,B05BB02_C02KX05
N04BA03,B03AB10,veldokumenteret,udtalt,4,N,B,B03AB10_N04BA03
B05BA10,J01MA12,begrænset dokumenteret,mulig,4,B,J,B05BA10_J01MA12
J01MA02,B05BB02,veldokumenteret,udtalt,4,J,B,B05BB02_J01MA02
A12AA06,J01MA14,begrænset dokumenteret,mulig,4,A,J,A12AA06_J01MA14
A12AA07,J01AA07,veldokumenteret,moderat,4,A,J,A12AA07_J01AA07
J01MA14,B03AB10,dokumenteret,moderat,4,J,B,B03AB10_J01MA14
B05AA07,N03AX12,veldokumenteret,uafklaret,4,B,N,B05AA07_N03AX12
N04BA03,B05XA31,veldokumenteret,udtalt,4,N,B,B05XA31_N04BA03
B05AA07,C02KX05,dokumenteret,moderat,4,B,C,B05AA07_C02KX05
A02AD01,S02CA05,veldokumenteret,moderat,4,A,S,A02AD01_S02CA05
J01MA14,B03AA02,dokumenteret,moderat,4,J,B,B03AA02_J01MA14
A02BX13,J02AC02,dokumenteret,moderat,4,A,J,A02BX13_J02AC02
B05BA10,J01MA14,begrænset dokumenteret,mulig,4,B,J,B05BA10_J01MA14
D01AC08,B05DB,ringe dokumenteret,mulig,4,D,B,B05DB_D01AC08
D01AC08,B05D,ringe dokumenteret,mulig,4,D,B,B05D_D01AC08
B05D,S02CA06,veldokumenteret,moderat,4,B,S,B05D_S02CA06
S01AE07,B03AA02,dokumenteret,moderat,4,S,B,B03AA02_S01AE07
J02AC02,N02BA75,dokumenteret,moderat,4,J,N,J02AC02_N02BA75
B05BB02,S01AE07,begrænset dokumenteret,mulig,4,B,S,B05BB02_S01AE07
B05AA06,S02CA03,veldokumenteret,moderat,4,B,S,B05AA06_S02CA03
J05AR09,B05BA10,dokumenteret,moderat,4,J,B,B05BA10_J05AR09
J05AR18,B05D,dokumenteret,moderat,4,J,B,B05D_J05AR18
C10AC01,D11AX18,dokumenteret,uafklaret,4,C,D,C10AC01_D11AX18
N04BA03,B03AB10,dokumenteret,udtalt,4,N,B,B03AB10_N04BA03
A02BX13,B03AA07,veldokumenteret,moderat,4,A,B,A02BX13_B03AA07
B05XX,A02AD01,veldokumenteret,moderat,4,B,A,A02AD01_B05XX
S01AE03,B05D,veldokumenteret,udtalt,4,S,B,B05D_S01AE03
B05BB01,S02CA06,veldokumenteret,moderat,4,B,S,B05BB01_S02CA06
L01XE13,J05AR10,dokumenteret,moderat,4,L,J,J05AR10_L01XE13
V03AE05,J01AA07,veldokumenteret,udtalt,4,V,J,J01AA07_V03AE05
C10AC02,M01AB55,dokumenteret,uafklaret,4,C,M,C10AC02_M01AB55
J07CA02,B03AA01,veldokumenteret,moderat,4,J,B,B03AA01_J07CA02
J01AA02,A12CC30,veldokumenteret,udtalt,4,J,A,A12CC30_J01AA02
B03AA07,S01AA30,dokumenteret,udtalt,4,B,S,B03AA07_S01AA30
J02AB02,A12CC30,ringe dokumenteret,mulig,4,J,A,A12CC30_J02AB02
G03AD01,C10AC04,dokumenteret,mulig,4,G,C,C10AC04_G03AD01
C10AC01,C09DA01,veldokumenteret,moderat,4,C,C,C09DA01_C10AC01
S02CA05,B05DB,veldokumenteret,udtalt,4,S,B,B05DB_S02CA05
B03AC,J01AA07,veldokumenteret,udtalt,4,B,J,B03AC_J01AA07
S02AA15,A02AA04,veldokumenteret,udtalt,4,S,A,A02AA04_S02AA15
C10AC01,C03AA03,veldokumenteret,moderat,4,C,C,C03AA03_C10AC01
A12AA06,S01AE07,begrænset dokumenteret,mulig,4,A,S,A12AA06_S01AE07
D08AC02,N02AA01,dokumenteret,mulig,4,D,N,D08AC02_N02AA01
J07CA02,B03AC,veldokumenteret,moderat,4,J,B,B03AC_J07CA02
B05XA31,B05BA10,veldokumenteret,moderat,4,B,B,B05BA10_B05XA31
B02BC30,S02CA03,veldokumenteret,moderat,4,B,S,B02BC30_S02CA03
N04BA03,V03AE05,veldokumenteret,udtalt,4,N,V,N04BA03_V03AE05
S02CA06,B03AA01,veldokumenteret,moderat,4,S,B,B03AA01_S02CA06
L01XE08,B05AA06,dokumenteret,uafklaret,4,L,B,B05AA06_L01XE08
C10AC02,C09DX01,dokumenteret,moderat,4,C,C,C09DX01_C10AC02
C10AC02,C09DA03,dokumenteret,moderat,4,C,C,C09DA03_C10AC02
C10AC02,C03AA03,dokumenteret,moderat,4,C,C,C03AA03_C10AC02
B05BB01,S01AE03,veldokumenteret,moderat,4,B,S,B05BB01_S01AE03
L01XE06,J07CA02,dokumenteret,udtalt,4,L,J,J07CA02_L01XE06
S01AE07,V03AE05,dokumenteret,moderat,4,S,V,S01AE07_V03AE05
B02BX05,A02AA04,dokumenteret,mulig,4,B,A,A02AA04_B02BX05
L01CD01,L01DB01,dokumenteret,udtalt,4,L,L,L01CD01_L01DB01
J02AC02,A12CC04,dokumenteret,moderat,4,J,A,A12CC04_J02AC02
A02AB04,B03AB10,veldokumenteret,moderat,4,A,B,A02AB04_B03AB10
J05AR18,A12CC04,dokumenteret,moderat,4,J,A,A12CC04_J05AR18
C10AC04,G03AA16,dokumenteret,mulig,4,C,G,C10AC04_G03AA16
L01XE06,N02BA75,dokumenteret,udtalt,4,L,N,L01XE06_N02BA75
A12AA06,S02CA03,veldokumenteret,moderat,4,A,S,A12AA06_S02CA03
C10AC02,C09BA05,dokumenteret,moderat,4,C,C,C09BA05_C10AC02
B03AA01,B05ZB,veldokumenteret,moderat,4,B,B,B03AA01_B05ZB
A02BX02,S01AE07,dokumenteret,udtalt,4,A,S,A02BX02_S01AE07
N04BA03,B03AC,dokumenteret,udtalt,4,N,B,B03AC_N04BA03
N02BA75,J01AA07,dokumenteret,udtalt,4,N,J,J01AA07_N02BA75
A02AB04,J01MA02,veldokumenteret,udtalt,4,A,J,A02AB04_J01MA02
B03AA07,B05ZB,veldokumenteret,moderat,4,B,B,B03AA07_B05ZB
V03AE04,J01MA02,veldokumenteret,moderat,4,V,J,J01MA02_V03AE04
J05AR18,B05BB01,dokumenteret,moderat,4,J,B,B05BB01_J05AR18
B05XA31,J01AA07,veldokumenteret,udtalt,4,B,J,B05XA31_J01AA07
J07CA02,B03AB10,veldokumenteret,moderat,4,J,B,B03AB10_J07CA02
C10AC02,M02AA15,dokumenteret,uafklaret,4,C,M,C10AC02_M02AA15
A06AB58,J01MA02,dokumenteret,udtalt,4,A,J,A06AB58_J01MA02
B05XX,B05BA10,veldokumenteret,moderat,4,B,B,B05BA10_B05XX
J05AR18,A02AB04,dokumenteret,moderat,4,J,A,A02AB04_J05AR18
C10AC01,C09BA02,veldokumenteret,moderat,4,C,C,C09BA02_C10AC01
B05AA06,S01AE07,begrænset dokumenteret,moderat,4,B,S,B05AA06_S01AE07
B05AA06,J01MA14,begrænset dokumenteret,mulig,4,B,J,B05AA06_J01MA14
B05D,J01AA07,veldokumenteret,moderat,4,B,J,B05D_J01AA07
B02BX05,N02BA75,dokumenteret,mulig,4,B,N,B02BX05_N02BA75
J01AA02,V03AE05,dokumenteret,udtalt,4,J,V,J01AA02_V03AE05
B03AA02,A12CC30,veldokumenteret,moderat,4,B,A,A12CC30_B03AA02
B05XX,D06AA03,dokumenteret,udtalt,4,B,D,B05XX_D06AA03
B03AA07,S03CA04,dokumenteret,udtalt,4,B,S,B03AA07_S03CA04
J05AR09,B05D,dokumenteret,moderat,4,J,B,B05D_J05AR09
B02BC30,S02CA05,veldokumenteret,moderat,4,B,S,B02BC30_S02CA05
J01AA02,B05BB01,veldokumenteret,udtalt,4,J,B,B05BB01_J01AA02
N02BA75,N03AX12,veldokumenteret,uafklaret,4,N,N,N02BA75_N03AX12
A02BX13,J01MA14,begrænset dokumenteret,moderat,4,A,J,A02BX13_J01MA14
B02BB01,S01AE03,veldokumenteret,moderat,4,B,S,B02BB01_S01AE03
G03AA14,C10AC04,dokumenteret,mulig,4,G,C,C10AC04_G03AA14
B05AA06,N03AX12,veldokumenteret,uafklaret,4,B,N,B05AA06_N03AX12
C10AC01,M01AE02,dokumenteret,ringe,4,C,M,C10AC01_M01AE02
B03AC,A12CC04,veldokumenteret,moderat,4,B,A,A12CC04_B03AC
