,NDFRT,CUI
533,"N0000023100
","
C0663733
"
534,"N0000146476
","
C0008838
"
535,"N0000175996
","
C1435444
"
536,"N0000023029
","
C1098320
"
537,"N0000148627
","
C0136123
"
538,"N0000146069
","
C0032821
"
539,"N0000146249
","
C0036078
"
540,"N0000148599
","
C0248719
"
541,"N0000146253
","
C0040869
"
542,"N0000148643
","
C0765273
"
543,"N0000146595
","
C0009074
"
544,"N0000147796
","
C0011015
"
545,"N0000148638
","
C0014582
"
546,"N0000147874
","
C0020789
"
547,"N0000023027
","
C1372987
"
548,"N0000148526
","
C0066535
"
549,"N0000023092
","
C0537551
"
550,"N0000148255
","
C0085542
"
551,"N0000171744
","
C1176020
"
552,"N0000148492
","
C0146011
"
553,"N0000148541
","
C0663182
"
554,"N0000145985
","
C0002645
"
555,"N0000148590
","
C0717758
"
556,"N0000148244
","
C0059985
"
557,"N0000148798
","
C1704263
"
558,"N0000171753
","
C0907349
"
559,"N0000148792
","
C0962603
"
560,"N0000148705
","
C0383429
"
561,"N0000148718
","
C0245109
"
562,"N0000148293
","
C0092801
"
563,"N0000148826
","
C1174995
"
564,"N0000148459
","
C0289884
"
565,"N0000148580
","
C0666743
"
566,"N0000022612
","
C0021747
"
567,"N0000147991
","
C0033223
"
568,"N0000148793
","
C0537439
"
569,"N0000176115
","
C1667052
"
570,"N0000148477
","
C0066005
"
571,"N0000176118
","
C1871526
"
572,"N0000148047
","
C0041056
"
573,"N0000148483
","
C0107994
"
574,"N0000147818
","
C0012525
"
575,"N0000145914
","
C0026549
"
576,"N0000176062
","
C0936148
"
577,"N0000171790
","
C0525678
"
578,"N0000147028
","
C0042291
"
579,"N0000148520
","
C0724680
"
580,"N0000146502
","
C0020264
"
581,"N0000147822
","
C0012963
"
582,"N0000147870
","
C0012306
"
583,"N0000147939
","
C0027360
"
584,"N0000148424
","
C0771309
"
585,"N0000171748
","
C0966107
"
586,"N0000148804
","
C0533545
"
587,"N0000176088
","
C1506770
"
588,"N0000176119
","
C1135132
"
589,"N0000176084
","
C1120110
"
590,"N0000148384
","
C0054201
"
591,"N0000176133
","
C1456409
"
592,"N0000176089
","
C1873633
"
593,"N0000147961
","
C0030454
"
594,"N0000176108
","
C1707080
"
595,"N0000145980
","
C0040864
"
596,"N0000176142
","
C1880288
"
597,"N0000177933
","
C1831905
"
598,"N0000145891
","
C0035179
"
599,"N0000171797
","
C0213404
"
600,"N0000179820
","
C2001271
"
601,"N0000177920
","
C0039623
"
602,"N0000176120
","
C0389169
"
603,"N0000146166
","
C0016360
"
604,"N0000146162
","
C0022265
"
